DIVIPOLA,Municipio,Departamento,abstencion_2018,margen_2018,abstencion_2022,margen_2022,margen_2026,tasa_nulos_2026,IPM_2018,total_victimas,Amenaza,Desplazamiento forzado,Homicidio,abstencion_prom,margen_prom,abstencion_prom_norm,margen_prom_norm,IPM_2018_norm,total_victimas_norm,tasa_nulos_2026_norm,indice_fragilidad,nivel_riesgo,cluster,perfil_cluster
76622,ROLDANILLO,VALLE DEL CAUCA,0.4309830837493067,0.1802080050425465,0.4049720651922378,0.07800230946882217,,0.06022530329289428,16.5,5452,380,3278,1794,0.4179775744707722,0.12910515725568433,0.24815668869109703,0.1461450557812295,0.13057671381936886,0.13186095454655408,0.15720871066501552,26.33,Medio,3,Fragilidad Baja
76670,SAN PEDRO,VALLE DEL CAUCA,0.4924939139843116,0.09594613550287558,0.46646300969584276,0.189927498705334,,0.06022530329289428,18.0,4747,203,3888,656,0.47947846184007714,0.1429368171041048,0.33711491710490055,0.16218072933914246,0.14689880304678998,0.11480684099760516,0.15720871066501552,30.48,Medio,3,Fragilidad Baja
76736,SEVILLA,VALLE DEL CAUCA,0.5310346676676408,0.21619993977717555,0.5070463653493988,0.07773145239591067,,0.06022530329289428,27.4,6542,599,4390,1553,0.5190405165085199,0.1469656960865431,0.39433962468645706,0.1668515923356826,0.2491838955386289,0.15822830740946806,0.15720871066501552,38.33,Medio,2,Fragilidad Media
76823,TORO,VALLE DEL CAUCA,0.5296670348745464,0.41724982505248426,0.5095571095571095,0.16540362438220757,,0.06022530329289428,32.1,2769,210,1316,1243,0.519612072215828,0.2913267247173459,0.39516635394739613,0.33421591122272043,0.3003264417845484,0.06695856213261085,0.15720871066501552,42.8,Medio,2,Fragilidad Media
76828,TRUJILLO,VALLE DEL CAUCA,0.5142983677084652,0.46095853527194397,0.4974901723616571,0.02178513631271007,,0.06022530329289428,34.9,7510,1528,4284,1698,0.5058942700350612,0.24137183579232702,0.3753241787865043,0.27630093209497075,0.33079434167573446,0.18164445197029438,0.15720871066501552,45.03,Medio,2,Fragilidad Media
76834,TULUA,VALLE DEL CAUCA,0.4527448282700579,0.0364442342928069,0.43989846287328965,0.16184434642092851,,0.06022530329289428,13.7,11012,2627,5579,2806,0.44632164557167375,0.09914429035686771,0.2891550947145772,0.1114100574971032,0.10010881392818279,0.2663586443793996,0.15720871066501552,29.92,Medio,3,Fragilidad Baja
76845,ULLOA,VALLE DEL CAUCA,0.52601908065915,0.20545369064409968,0.5211012861736335,0.029164825452938577,,0.06022530329289428,24.2,449,18,316,115,0.5235601834163918,0.11730925804851913,0.4008771167185711,0.13246953230240807,0.21436343852013057,0.010837223928977478,0.15720871066501552,31.44,Medio,3,Fragilidad Baja
76863,VERSALLES,VALLE DEL CAUCA,0.5507283090563648,0.4892629135229251,0.5247295208655333,0.04355155942680528,,0.06022530329289428,30.6,2048,144,1645,259,0.537728914960949,0.2664072364748652,0.4213715406364878,0.30532561294573496,0.2840043525571273,0.04951740487191272,0.15720871066501552,41.73,Medio,2,Fragilidad Media
76869,VIJES,VALLE DEL CAUCA,0.49820687051717627,0.2275132275132275,0.4571299230421005,0.2625843279709393,,0.06022530329289428,19.0,681,85,353,243,0.47766839677963835,0.2450487777420834,0.33449674055529316,0.2805637784520855,0.1577801958650707,0.016449357749340816,0.15720871066501552,31.44,Medio,3,Fragilidad Baja
76890,YOTOCO,VALLE DEL CAUCA,0.5190456545654566,0.05052631578947368,0.474511894449257,0.24734607218683652,,0.06022530329289428,20.8,1416,138,665,613,0.4967787745073568,0.1489361939881551,0.3621390302797976,0.1691360803467445,0.17736670293797602,0.03422917825781949,0.15720871066501552,30.34,Medio,3,Fragilidad Baja
76892,YUMBO,VALLE DEL CAUCA,0.48007878050986263,0.2250172996295844,0.44156461550163534,0.5469773188597652,,0.06022530329289428,15.6,3484,390,1999,1095,0.460821698005749,0.3859973092446748,0.310128759187041,0.44397183391412576,0.12078346028291619,0.08425457800140303,0.15720871066501552,36.34,Medio,3,Fragilidad Baja
76895,ZARZAL,VALLE DEL CAUCA,0.4857788660764739,0.08856594461200987,0.4439048332515306,0.4292498546229889,,0.06022530329289428,17.2,4309,327,1963,2019,0.4648418496640022,0.2589078996174994,0.31594372519436914,0.29663128998931293,0.13819368879216537,0.10421151938847092,0.15720871066501552,33.22,Medio,3,Fragilidad Baja
81001,ARAUCA,ARAUCA,0.49291262686397913,0.5535734870317003,0.5452124624339026,0.37133111671634944,,0.06022530329289428,38.6,12875,3929,5304,3642,0.5190625446489409,0.46245230187402486,0.39437148738683286,0.5326095908509337,0.3710554951033732,0.3114250465661966,0.15720871066501552,59.63,Alto,1,Fragilidad Alta
81794,TAME,ARAUCA,0.4866039952996475,0.3451880331611198,0.48087345018108757,0.389093201639172,,0.06022530329289428,41.9,15183,4284,7707,3192,0.48373872274036755,0.3671406174001459,0.34327719017902175,0.42211041177717556,0.4069640914036996,0.36725610198601805,0.15720871066501552,57.29,Alto,2,Fragilidad Media
81065,ARAUQUITA,ARAUCA,0.5913967366932285,0.05386777908769384,0.5831029818267365,0.12788736525628805,,0.06022530329289428,49.2,13151,4553,5642,2956,0.5872498592599824,0.09087757217199094,0.49300132782585676,0.10182607439885741,0.48639825897714906,0.3181015505938702,0.15720871066501552,54.66,Alto,0,Fragilidad Muy Alta
81220,CRAVO NORTE,ARAUCA,0.6238658234808908,0.6099397590361446,0.6318264959498302,0.43567251461988304,,0.06022530329289428,48.8,5106,436,4283,387,0.6278461597153605,0.5228061368280138,0.5517220247644079,0.60258054198019,0.48204570184983675,0.12349113427997774,0.15720871066501552,66.53,Alto,1,Fragilidad Alta
81300,FORTUL,ARAUCA,0.567949927119952,0.11885245901639344,0.5204180664427025,0.15085788280997087,,0.06022530329289428,48.3,9807,2376,5522,1909,0.5441839967813272,0.13485517091318217,0.43070852206179316,0.15281130863704318,0.4766050054406963,0.23720941483828828,0.15720871066501552,50.85,Alto,2,Fragilidad Media
